,,,,,ble,150.0 Ha
,nom,passage Ha,total/Ha,total,c/Ha,total
,,,,,,
Labours,,,,,,
Total Labours,,,,,,
,,,,,,
Pulves,,,,,,
Total Pulves,,,,,,
,,,,,,
Factures,,,,,,
agri Fioul,2009-07-23,0 p - 150 ha,8.8,1325,8.8,1325
maison tel portable,2009-12-19,0 p - 150 ha,0.1,15.1,0.1,15.1
maison voiture,2010-02-10,0 p - 150 ha,3.6,532.8,3.6,532.8
agri remorque reparation,2009-12-31,0 p - 150 ha,1.8,271.6,1.8,271.6
agri produits phyto,2009-11-30,0 p - 150 ha,8.0,1200.8,8.0,1200.8
agri semances,2009-10-31,0 p - 150 ha,1.8,269.2,1.8,269.2
maison pneu,2009-07-01,0 p - 150 ha,0.4,66.9,0.4,66.9
agri ordures menagere,2009-10-23,0 p - 150 ha,0.1,18.0,0.1,18.0
maison ordures menageres,2009-10-23,0 p - 150 ha,0.4,66.1,0.4,66.1
agri redevance pollution,2009-11-15,0 p - 150 ha,0.4,58.7,0.4,58.7
agri redevance pollution,2009-11-15,0 p - 150 ha,0.9,136.8,0.9,136.8
maison telephone,2009-12-03,0 p - 150 ha,0.2,27.8,0.2,27.8
maison telephone paris,2009-12-22,0 p - 150 ha,0.2,28.4,0.2,28.4
maison tronconneuse,2009-11-30,0 p - 150 ha,0.5,68.8,0.5,68.8
agri phyto,2009-11-30,0 p - 150 ha,2.5,374.8,2.5,374.8
agri phyto/semances,2009-10-31,0 p - 150 ha,3.8,569.0,3.8,569.0
maison edf,2009-11-19,0 p - 150 ha,0.8,122.7,0.8,122.7
agri edf pro,2009-09-23,0 p - 150 ha,0.2,28.3,0.2,28.3
agri edf pro,2009-07-17,0 p - 150 ha,0.2,24.7,0.2,24.7
maison edf,2009-09-23,0 p - 150 ha,0.7,106.1,0.7,106.1
maison edf,2009-08-04,0 p - 150 ha,0.7,107.0,0.7,107.0
maison edf,2009-09-23,0 p - 150 ha,0.3,38.6,0.3,38.6
maison kubota,2009-10-31,0 p - 150 ha,4.8,715.3,4.8,715.3
maison telephone mlv,2009-10-05,0 p - 150 ha,0.2,27.7,0.2,27.7
agri compta centre,2009-09-30,0 p - 150 ha,3.9,578,3.9,578
,,,,,,
sous-totals,,,,,,
agri,,,32.4,4854.8,32.4,4854.8
maison,,,12.8,1923.2,12.8,1923.2
invest,,,,,,
Total Factures,,,45.2,6778.0,45.2,6778.0
,,,,,,
total charges,,,,,,
,,,45.2,6778.0,45.2,6778.0
,,,,,,
Ventes,,,,,,
Total Ventes,,,129.1,19369.0,129.1,19369.0
,,,,,,
total benefs,,,,,,
,,,83.9,12591.0,83.9,12591.0
