,,,,,zone_1,10.0 Ha,zone_2,20.0 Ha
,nom,passage Ha,total/Ha,total,c/Ha,total,c/Ha,total
,,,,,,,,
Labours,,,,,,,,
Total Labours,,,18,180,18,180,,
,,,,,,,,
Pulves,,,,,,,,
Total Pulves,,,,,,,,
,,,,,,,,
Factures,,,,,,,,
,,,,,,,,
sous-totals,,,,,,,,
agri,,,20,450,20,200,20,250.0
maison,,,20,200,20,200,,
invest,,,,,,,,
Total Factures,,,40,650,40,400,20,250.0
,,,,,,,,
total charges,,,,,,,,
,,,58,830,58,580,20,250.0
,,,,,,,,
Ventes,,,,,,,,
Total Ventes,,,,,,,,
,,,,,,,,
total benefs,,,,,,,,
,,,-58,-830,-58,-580,-20,-250.0
